id;nombre_microservicio;error;fecha_hora;mensaje
1;portal;compressing;2020-02-27T08:36:59;holistic Berkshire invoice
2;product robust Metrics;Interactions;2020-02-27T15:41:30;Trafficway invoice
3;Branch Savings Account copying;Fresh;2020-02-27T10:25:08;Automotive solutions online
4;installation;framework convergence;2020-02-27T01:36:24;Australia Future
5;Fort Maryland;Iran;2020-02-26T22:55:38;overriding strategic
6;Gorgeous;invoice Chips IB;2020-02-27T01:33:40;digital index
7;Yemeni Rial demand-driven Cambridgeshire;Organized;2020-02-27T06:24:52;Reverse-engineered
8;withdrawal;Concrete;2020-02-27T09:54:17;time-frame
9;Arkansas;AI payment interactive;2020-02-27T17:19:42;Cross-group Massachusetts Books
10;connect;Handcrafted;2020-02-27T01:54:52;hard drive SSL Points
